Restaurant;Item;Type;Breakfast;ServingSize;Calories;TotalFat;SaturatedFat;Cholesterol;Sodium;TotalCarbs;Fiber;Sugar;Protein
Wendys;Daves Hot N Juicy 1/4 lb Single;Sandwich;No;250;580;33;14;105;1240;42;3;10;31
Wendys;Daves Hot N Juicy 1/2 lb Double;Sandwich;No;332;800;48;21;175;1530;42;3;10;50
Wendys;Daves Hot N Juicy 3/4 lb Triple;Sandwich;No;426;1060;67;30;255;2020;42;3;10;72
Wendys;Baja Salad Half Size;Salad;No;341;470;31;10;60;1140;31;7;8;18
Wendys;Asiago Ranch Chicken Club;Sandwich;No;291;740;38;12;105;1780;59;4;9;39
Wendys;Baconator;Sandwich;No;304;970;63;27;210;2020;40;2;10;60
Wendys;Baconator Single;Sandwich;No;206;660;40;17;120;1440;40;2;9;36
Wendys;Son of Baconator;Sandwich;No;218;700;43;18;139;1760;40;2;9;39
Wendys;Jr Bacon Cheeseburger;Sandwich;No;153;400;24;9;65;930;25;2;5;21
Wendys;Jr Cheeseburger Deluxe;Sandwich;No;157;350;19;7;55;850;27;2;6;17
Wendys;J Hamburger;Sandwich;No;102;250;10;4;35;620;25;1;5;15
Wendys;5 piece Chicken Nuggets;Other;No;75;220;14;3;35;460;13;1;0;10
Wendys;10 piece Chicken Nuggets;Other;No;150;450;29;6;65;930;26;2;0;21
Wendys;Grilled Chicken Go Wrap;Wrap;No;127;260;10;3.5;55;630;25;1;3;19
Wendys;Crispy Chicken Caesar Wrap;Wrap;No;157;430;25;7;45;950;35;2;1;17
Wendys;Spicy Chicken Go Wrap;Wrap;No;135;340;16;4.5;45;770;31;1;1;17
Wendys;Crispy Chicken Sandwich;Sandwich;No;142;380;20;4;35;720;37;2;4;15
Wendys;Home Style Chicken Fillet;Sandwich;No;250;560;23;6;70;1290;57;4;8;30
Wendys;Spicy Chicken sandwich;Sandwich;No;247;530;22;6;75;1140;55;3;8;31
Wendys;Apple Pecan Chicken Salad Half-Size;Salad;No;244;340;18;4.5;60;700;29;4;22;19
Wendys;Apple Pecan Chicken Salad full-Size;Salad;No;434;570;27;8;115;1340;51;6;39;37
Wendys;Spicy Chicken Caesar Salad Half-Size;Salad;No;271;440;26;8;60;1020;29;4;4;23
Wendys;Spicy Chicken Caesar Salad full-Size;Salad;No;435;770;49;16;115;1810;42;6;5;43
Wendys;Garden Side Salad;Salad;No;148;210;13;2;10;400;19;2;4;4
Wendys;Broccoli Cheese Potato;Side;No;424;470;15;8;40;690;69;8;5;16
Wendys;Bacon Cheese Potato;Side;No;388;580;25;12;65;1080;67;7;5;21
Wendys;Sour Cream and Chive Potato;Side;No;308;320;3.5;2;10;50;63;7;4;8
Wendys;Small Chill;Side;No;227;210;6;2.5;40;880;21;6;6;17
McDonalds;Angus Deluxe Snack Wrap;Wrap;No;170;410;25;10;75;990;27;2;3;20
McDonalds;Chicken Selects Premium Breast Strips (3 pc);Other;No;124;380;23;3.5;55;750;21;1;0;23
McDonalds;Cheeseburger;Sandwich;No;115;300;12;6;40;720;33;2;7;15
McDonalds;Southern Style Crispy Chicken Sandwich;Sandwich;No;159;420;19;3;45;900;43;2;7;21
McDonalds;Premium Crispy Chicken Club Sandwich;Sandwich;No;237;620;29;7;70;1200;57;3;11;31
McDonalds;McRib;Sandwich;No;209;500;26;10;70;980;44;3;11;22
McDonalds;Ranch Snack Wrap (Grilled);Wrap;No;118;270;12;4;45;700;25;1;2;16
McDonalds;McChicken;Sandwich;No;143;360;16;3;35;800;40;2;5;14
McDonalds;Big Mac;Sandwich;No;215;550;29;10;75;1000;46;3;9;25
McDonalds;Medium Fries;Side;No;117;380;19;2.5;0;270;48;5;0;4
McDonalds;Premium Bacon Ranch Salad (without chicken);Salad;No;223;140;7;3.5;25;300;10;3;4;9
McDonalds;Quarter Pounder with Cheese;Sandwich;No;202;520;26;12;90;1180;42;3;10;30
McDonalds;Honey Mustard Snack Wrap (Grilled);Wrap;No;116;250;8;3.5;45;650;27;1;4;16
McDonalds;Double Cheeseburger;Sandwich;No;165;440;23;11;80;1120;34;2;7;25
McDonalds;Filet-O-Fish;Sandwich;No;143;380;18;3.5;40;610;39;2;5;16
McDonalds;Chicken McNuggets (6 piece);Other;No;97;280;18;3;40;540;18;1;0;13
McDonalds;Side Salad;Salad;No;87;20;0;0;0;10;4;1;2;1
McDonalds;Sausage, Egg and Cheese McGriddles;Sandwich;Yes;202;560;32;12;265;1360;48;2;15;20
